spectra,Se_real,Se_predicted,LOD_real,LOD_predicted,UNC_real,UNC_predicted,mask,ratio
4e_data_00001,0.577,0.59613055,0.0741,0.06935974,0.0248,0.026642686,train,1.0331551991467667
4e_data_00002,0.663,0.67434597,0.0156,0.039256815,0.012,0.003089705,train,1.0171130771550656
4e_data_00003,0.562,0.5692255,0.025600000000000005,0.04116017,0.0137,0.006848664,train,1.0128567439381337
4e_data_00004,0.516,0.5281002,0.0352,0.044382725,0.014399999999999998,0.010503351,train,1.0234499855559
4e_data_00005,0.514,0.52244645,0.0362,0.046387598,0.0178,0.010180461,train,1.01643278904926
4e_data_00006,0.49,0.54785824,0.05740000000000001,0.058432255,0.0207,0.020932468,train,1.118078037184112
4e_data_00007,0.64,0.65757143,0.023,0.04329861,0.0134,0.005429238,train,1.0274553671479225
4e_data_00008,0.872,0.88049245,0.019,0.051245693,0.018,0.003906108,train,1.0097390467967462
4e_data_00009,0.639,0.64211637,0.0144,0.04043839,0.0131,0.0024841786,train,1.0048769449404147
4e_data_00010,0.725,0.73244786,0.0267,0.07012306,0.027000000000000003,0.0074479673,train,1.0102729139656856
4e_data_00011,0.713,0.72276163,0.0211,0.04561418,0.014399999999999998,0.005132534,train,1.013690927085502
4e_data_00012,0.693,0.7058562,0.0225,0.053750806,0.0203,0.0061271884,train,1.0185515209709928
4e_data_00013,0.573,0.58385533,0.022899999999999997,0.041058913,0.0129,0.005493841,train,1.0189447311414683
4e_data_00014,0.79,0.7953701,0.028900000000000002,0.0496605,0.0166,0.0078088664,train,1.0067975973781151
4e_data_00015,0.608,0.616769,0.0551,0.058993198,0.0206,0.018131357,train,1.0144227233372236
4e_data_00016,0.604,0.6064604,0.0323,0.046093058,0.0153,0.008852971,train,1.0040734974753778
4e_data_00017,0.673,0.67704403,0.0267,0.04749489,0.0175,0.0074958266,train,1.0060089658309233
4e_data_00018,0.842,0.85129726,0.0406,0.058151945,0.019899999999999998,0.012684363,train,1.0110418756897264
4e_data_00019,0.516,0.51980054,0.0248,0.039217073,0.013000000000000001,0.0062838513,train,1.007365394932355
4e_data_00020,0.638,0.64744985,0.0204,0.04161573,0.0134,0.004797942,train,1.0148116787399244
4e_data_00021,0.677,0.6861162,0.021199999999999997,0.042960998,0.0142,0.0049129324,train,1.0134656108816757
4e_data_00022,0.686,0.6949296,0.0213,0.04523183,0.0153,0.004785487,train,1.0130169092739982
4e_data_00023,0.628,0.6316152,0.0198,0.0395082,0.0127,0.0043680635,train,1.0057567221343897
4e_data_00024,0.506,0.52409744,0.0424,0.046819557,0.015399999999999999,0.013298691,train,1.0357656968912117
4e_data_00025,0.477,0.4925233,0.027500000000000004,0.03977546,0.013000000000000001,0.0075148074,train,1.0325436322194226
4e_data_00026,0.661,0.66222584,0.05970000000000001,0.05721045,0.0201,0.019894088,train,1.0018545271949941
4e_data_00027,0.655,0.65851855,0.0149,0.039056934,0.0122,0.0026372657,train,1.0053718363055746
